PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,quality,quality_class,wine_type
1.4620479566158857,-4.518624627035342,2.9357928403600786,-1.360756927460712,-1.3189155042252485,-1.139972774776362,0.3590963849501203,-1.1658590026273374,0.7332104044912426,5,1,red
2.263571460401838,-4.6115853538798515,2.608798224009064,0.2384576687374257,-0.22174841382510296,-0.7089343332176445,1.410057574248802,0.20598325874319268,-0.9995021945877028,5,1,red
1.9381080224409457,-4.811546702142532,2.102792656425344,-0.5731975497497894,-1.3325412733020232,-0.5436344209318709,1.170975525085594,-0.10067789500501374,-0.5747416809335408,5,1,red
2.9469733372606477,-4.749829231378269,-2.683615467941264,-0.5219231503487883,1.3624596005979772,0.3402774326308538,-0.8837589593936469,0.4574168159228835,0.7086437644501782,6,1,red
1.4620479566158857,-4.518624627035342,2.9357928403600786,-1.360756927460712,-1.3189155042252485,-1.139972774776362,0.3590963849501203,-1.1658590026273374,0.7332104044912426,5,1,red
1.3947643669943723,-4.460345639611144,2.936366604662211,-1.387926902389717,-1.0991491030775304,-1.1662045151087062,0.5381406349805063,-1.1753022913820157,0.7645225697367013,5,1,red
1.5177477973163587,-4.1455065039467485,1.1140514698897275,-2.0209729752852716,-0.9539920259418803,-2.038554889737934,0.767219648107942,-0.9771187058057831,0.2492548643009302,5,1,red
-0.5964763574379534,-4.813073572618705,3.51519366688003,0.28593846284255686,1.4495546922052174,-3.348055794649917,-0.6230693501565187,-1.7139394525450318,-0.342787170812566,7,2,red
1.5767307509717172,-4.87623331555209,2.5218761182645686,-0.337382655621398,-0.13458427623366628,-1.6301097501800803,-0.6450808151265245,-1.6333866295938124,-0.18201959823849956,7,2,red
1.9582059163221726,-2.2782223761960623,0.8392864076899127,1.0399824057974216,-2.0819424549776127,2.4931294668280537,0.9748471592997023,0.2462893812836296,0.26763527675755366,5,1,red
1.1100815001955786,-3.4464807204306687,2.993267006297387,-2.4969563800798533,-1.3054106658308606,-0.7357561256154573,0.4025805889294423,0.8177879259202072,-0.5405772583536173,5,1,red
1.9582059163221726,-2.2782223761960623,0.8392864076899127,1.0399824057974216,-2.0819424549776127,2.4931294668280537,0.9748471592997023,0.2462893812836296,0.26763527675755366,5,1,red
-1.731926263871302,-2.4966102119127314,4.9044049773833205,-2.0602071528083803,-1.724264408438681,-0.6234173158480047,0.2822645567766519,0.7497514188974227,0.5260807716950597,5,1,red
2.6545258768026723,-6.1796797343229155,2.2528432439979844,-1.2643216277795566,-0.3461987355631978,1.7324893519600126,0.3112535730590077,0.4838447788335185,-1.188333666749596,5,1,red
5.110397102525267,-4.579474792076225,1.7360428615774717,0.8881485538387112,1.5136629179193062,0.8532687911886984,3.018510125770866,0.6233383870015308,-0.7235245304388525,5,1,red
5.144898990595328,-4.532666552086466,1.6720447996207404,0.8404360188764156,1.3788646755342016,0.9394249885554288,3.0411008939088156,0.6709201673987842,-0.6423985117160135,5,1,red
1.262120637539815,-4.042127880809505,-0.5494476884975464,0.6033606305460769,2.2938849751486603,2.0142916405285076,0.08064831063443531,1.7290184941480933,0.7856576516559706,7,2,red
2.7776379062491268,-5.743865496792892,1.3913046482678166,-0.9557999726493231,0.20245456436026432,1.659503927432337,0.8934077620624548,0.7993621310607327,-1.6567193886478286,5,1,red
3.141487155744108,-3.3286426767433004,2.2218518565656837,-1.6876673694296456,-2.9334785034280566,-1.0317496370614994,-0.526393857680693,-0.30477045144356685,0.31117232456811705,4,0,red
2.635214390657633,-4.600778572488652,0.44789360285562807,-1.1206156829904959,1.4151352427736303,2.7824355633369544,-0.792163341391158,1.6975405032741806,-1.6286558026708784,6,1,red
2.4364337072641113,-3.8905365341350535,-0.4640899386545094,-0.3316309795174134,3.213745494446251,-0.4223747137153146,-1.6670331703766808,0.14123875625806126,1.613274258733512,6,1,red
1.553896608416543,-3.3860227861307246,1.7258922307862357,-0.5542609736193903,0.5145697193458122,0.8993768266719807,-0.29249919113522993,0.21330174855621942,1.4552171683309776,5,1,red
1.931666668963023,-5.54187920072298,1.3858315731022406,-1.2165401538709868,-0.10871255422306648,2.139867873442043,-0.20281411942598945,0.5806041921277677,-1.3458208892791619,5,1,red
2.753215309095947,-4.361828807375075,-0.3225791314907123,-2.093040587418049,-1.847763151215577,-0.7124336459203785,0.39511890783726106,-0.11213120445699297,-0.09330810955098487,5,1,red
0.7005742320812999,-3.13111619453386,3.5641332191936526,0.12652065510571509,1.1322775214316914,-0.17494922340253033,-1.2640311397190551,-0.21609537718734498,0.17740028792573423,6,1,red
-0.4745150011825848,-3.0727953803875545,3.5805257173638263,-1.783928197412513,0.7040027543230685,-0.4398992238828994,-2.0210065187222748,-0.20114792882594015,-0.6205312150789203,5,1,red
